state,households,year
ALABAMA,1855184,2018
ALASKA,254551,2018
ARIZONA,2614298,2018
ARKANSAS,1156347,2018
CALIFORNIA,13072122,2018
COLORADO,2176757,2018
CONNECTICUT,1378091,2018
DELAWARE,367671,2018
DISTRICT OF COLUMBIA,287476,2018
FLORIDA,7809358,2018
GEORGIA,3803012,2018
HAWAII,455309,2018
IDAHO,640270,2018
ILLINOIS,4864864,2018
INDIANA,2599169,2018
IOWA,1267873,2018
KANSAS,1133408,2018
KENTUCKY,1732713,2018
LOUISIANA,1737220,2018
MAINE,570307,2018
MARYLAND,2215935,2018
MASSACHUSETTS,2624294,2018
MICHIGAN,3957466,2018
MINNESOTA,2194452,2018
MISSISSIPPI,1108630,2018
MISSOURI,2434806,2018
MONTANA,431421,2018
NEBRASKA,765490,2018
NEVADA,1129810,2018
NEW HAMPSHIRE,531212,2018
NEW JERSEY,3249567,2018
NEW MEXICO,794093,2018
NEW YORK,7367015,2018
NORTH CAROLINA,4011462,2018
NORTH DAKOTA,319355,2018
OHIO,4685447,2018
OKLAHOMA,1485310,2018
OREGON,1639970,2018
PENNSYLVANIA,5070931,2018
RHODE ISLAND,406573,2018
SOUTH CAROLINA,1927991,2018
SOUTH DAKOTA,345449,2018
TENNESSEE,2603140,2018
TEXAS,9776083,2018
UTAH,998891,2018
VERMONT,261373,2018
VIRGINIA,3175524,2018
WASHINGTON,2895575,2018
WEST VIRGINIA,734703,2018
WISCONSIN,2371960,2018
WYOMING,230252,2018
PUERTO RICO,1179637,2018
