state,households,year
ALABAMA,2016448,2022
ALASKA,274574,2022
ARIZONA,2850377,2022
ARKANSAS,1216207,2022
CALIFORNIA,13550586,2022
COLORADO,2384584,2022
CONNECTICUT,1433635,2022
DELAWARE,402334,2022
DISTRICT OF COLUMBIA,326970,2022
FLORIDA,8826394,2022
GEORGIA,4092467,2022
HAWAII,494827,2022
IDAHO,717151,2022
ILLINOIS,5056360,2022
INDIANA,2726489,2022
IOWA,1330995,2022
KANSAS,1175294,2022
KENTUCKY,1828680,2022
LOUISIANA,1816902,2022
MAINE,605338,2022
MARYLAND,2375984,2022
MASSACHUSETTS,2797776,2022
MICHIGAN,4089794,2022
MINNESOTA,2322190,2022
MISSISSIPPI,1148340,2022
MISSOURI,2521832,2022
MONTANA,464072,2022
NEBRASKA,803157,2022
NEVADA,1198356,2022
NEW HAMPSHIRE,557220,2022
NEW JERSEY,3516978,2022
NEW MEXICO,848218,2022
NEW YORK,7774308,2022
NORTH CAROLINA,4299266,2022
NORTH DAKOTA,331481,2022
OHIO,4878206,2022
OKLAHOMA,1573180,2022
OREGON,1726340,2022
PENNSYLVANIA,5294065,2022
RHODE ISLAND,446688,2022
SOUTH CAROLINA,2136080,2022
SOUTH DAKOTA,368300,2022
TENNESSEE,2846684,2022
TEXAS,11087708,2022
UTAH,1129660,2022
VERMONT,277090,2022
VIRGINIA,3380607,2022
WASHINGTON,3079953,2022
WEST VIRGINIA,736341,2022
WISCONSIN,2491121,2022
WYOMING,243321,2022
PUERTO RICO,1289311,2022
