state,households,year
ALABAMA,1841665,2017
ALASKA,250741,2017
ARIZONA,2552972,2017
ARKANSAS,1153082,2017
CALIFORNIA,13005097,2017
COLORADO,2139207,2017
CONNECTICUT,1356762,2017
DELAWARE,357937,2017
DISTRICT OF COLUMBIA,281475,2017
FLORIDA,7689964,2017
GEORGIA,3745074,2017
HAWAII,458078,2017
IDAHO,625135,2017
ILLINOIS,4808672,2017
INDIANA,2557299,2017
IOWA,1257505,2017
KANSAS,1128983,2017
KENTUCKY,1725034,2017
LOUISIANA,1737123,2017
MAINE,540959,2017
MARYLAND,2207343,2017
MASSACHUSETTS,2604954,2017
MICHIGAN,3930017,2017
MINNESOTA,2162211,2017
MISSISSIPPI,1091980,2017
MISSOURI,2385135,2017
MONTANA,423091,2017
NEBRASKA,754490,2017
NEVADA,1094613,2017
NEW HAMPSHIRE,528700,2017
NEW JERSEY,3218798,2017
NEW MEXICO,767705,2017
NEW YORK,7304332,2017
NORTH CAROLINA,3955069,2017
NORTH DAKOTA,316306,2017
OHIO,4667192,2017
OKLAHOMA,1470364,2017
OREGON,1603635,2017
PENNSYLVANIA,5008751,2017
RHODE ISLAND,408748,2017
SOUTH CAROLINA,1905100,2017
SOUTH DAKOTA,344260,2017
TENNESSEE,2588655,2017
TEXAS,9623874,2017
UTAH,975448,2017
VERMONT,256629,2017
VIRGINIA,3120880,2017
WASHINGTON,2840377,2017
WEST VIRGINIA,715308,2017
WISCONSIN,2350293,2017
WYOMING,225796,2017
PUERTO RICO,1191305,2017
