state,snap_rate,year,households,republican_governor
ALABAMA,0.4096941590851087,2017,-0.22701095885844932,1
ALASKA,-0.18497705577673754,2017,-0.8412842895099764,0
ARIZONA,-0.18497705577673754,2017,0.04763253134331124,1
ARKANSAS,0.0008576988675894626,2017,-0.49288046163797894,1
CALIFORNIA,-0.5380630896009588,2017,4.083313453961923,0
COLORADO,-0.7796482706385841,2017,-0.11212670584025572,0
CONNECTICUT,0.03802464979645473,2017,-0.41423736367283226,0
DELAWARE,-0.2593109576344684,2017,-0.7998947297619802,0
DISTRICT OF COLUMBIA,0.26102635536964697,2017,-0.8294175526047288,0
FLORIDA,0.33536025722737783,2017,2.0310818886792044,1
GEORGIA,0.14952550258305086,2017,0.5079162821801498,1
HAWAII,-0.2035605312411705,2017,-0.7612291834475273,0
IDAHO,-0.3893952858854975,2017,-0.6967266303408722,1
ILLINOIS,0.20527592897634908,2017,0.9185832190887029,1
INDIANA,-0.463729187743228,2017,0.049303233841814724,1
IOWA,-0.4079787613499301,2017,-0.45256158782211825,1
KANSAS,-0.7610647951741513,2017,-0.5021853517492421,1
KENTUCKY,0.4282776345495414,2017,-0.27204347633082276,1
LOUISIANA,0.8556975702314933,2017,-0.26737577988885175,0
MAINE,0.18669245351191646,2017,-0.729227913796853,1
MARYLAND,-0.27789443309890105,2017,-0.08581864357123944,1
MASSACHUSETTS,-0.0177257765968435,2017,0.06770335576605405,1
MICHIGAN,0.24244287990521435,2017,0.5793248174657357,1
MINNESOTA,-0.7424813197097186,2017,-0.10324460732498551,0
MISSISSIPPI,0.6512793401227339,2017,-0.5164726188054298,1
MISSOURI,-0.14781010484787227,2017,-0.01717118837966757,1
MONTANA,-0.4451457122787954,2017,-0.7747380506338322,0
NEBRASKA,-0.649563942387555,2017,-0.6467812359119565,1
NEVADA,0.07519160072532,2017,-0.515455988419814,1
NEW HAMPSHIRE,-0.8911491234251803,2017,-0.7339612491167408,1
NEW JERSEY,-0.5380630896009588,2017,0.3047153050360732,1
