state,snap_rate,year
ALABAMA,13.0,2019
ALASKA,10.3,2019
ARIZONA,9.4,2019
ARKANSAS,11.0,2019
CALIFORNIA,8.4,2019
COLORADO,6.9,2019
CONNECTICUT,11.1,2019
DELAWARE,10.1,2019
DISTRICT OF COLUMBIA,11.3,2019
FLORIDA,11.8,2019
GEORGIA,11.2,2019
HAWAII,10.4,2019
IDAHO,8.3,2019
ILLINOIS,11.8,2019
INDIANA,8.5,2019
IOWA,9.5,2019
KANSAS,7.0,2019
KENTUCKY,11.9,2019
LOUISIANA,14.4,2019
MAINE,12.3,2019
MARYLAND,9.8,2019
MASSACHUSETTS,11.2,2019
MICHIGAN,11.7,2019
MINNESOTA,7.4,2019
MISSISSIPPI,13.5,2019
MISSOURI,10.2,2019
MONTANA,8.7,2019
NEBRASKA,7.6,2019
NEVADA,10.5,2019
NEW HAMPSHIRE,6.0,2019
NEW JERSEY,7.4,2019
NEW MEXICO,16.4,2019
NEW YORK,14.1,2019
NORTH CAROLINA,11.6,2019
NORTH DAKOTA,6.9,2019
OHIO,12.0,2019
OKLAHOMA,12.0,2019
OREGON,13.4,2019
PENNSYLVANIA,13.5,2019
RHODE ISLAND,14.5,2019
SOUTH CAROLINA,9.9,2019
SOUTH DAKOTA,8.7,2019
TENNESSEE,11.4,2019
TEXAS,10.8,2019
UTAH,5.5,2019
VERMONT,10.0,2019
VIRGINIA,7.8,2019
WASHINGTON,10.6,2019
WEST VIRGINIA,16.9,2019
WISCONSIN,9.4,2019
WYOMING,4.7,2019
PUERTO RICO,43.2,2019
