state,snap_rate,year
ALABAMA,13.3,2018
ALASKA,10.9,2018
ARIZONA,10.4,2018
ARKANSAS,11.4,2018
CALIFORNIA,8.5,2018
COLORADO,7.2,2018
CONNECTICUT,11.2,2018
DELAWARE,11.3,2018
DISTRICT OF COLUMBIA,14.0,2018
FLORIDA,13.8,2018
GEORGIA,11.9,2018
HAWAII,10.0,2018
IDAHO,8.9,2018
ILLINOIS,12.3,2018
INDIANA,8.9,2018
IOWA,9.6,2018
KANSAS,7.3,2018
KENTUCKY,13.2,2018
LOUISIANA,15.0,2018
MAINE,12.9,2018
MARYLAND,9.4,2018
MASSACHUSETTS,11.5,2018
MICHIGAN,12.6,2018
MINNESOTA,7.3,2018
MISSISSIPPI,14.8,2018
MISSOURI,10.7,2018
MONTANA,8.9,2018
NEBRASKA,8.4,2018
NEVADA,11.2,2018
NEW HAMPSHIRE,6.7,2018
NEW JERSEY,8.2,2018
NEW MEXICO,17.3,2018
NEW YORK,14.6,2018
NORTH CAROLINA,11.6,2018
NORTH DAKOTA,7.0,2018
OHIO,12.3,2018
OKLAHOMA,12.5,2018
OREGON,14.7,2018
PENNSYLVANIA,13.4,2018
RHODE ISLAND,15.4,2018
SOUTH CAROLINA,11.4,2018
SOUTH DAKOTA,8.1,2018
TENNESSEE,13.0,2018
TEXAS,11.9,2018
UTAH,6.5,2018
VERMONT,10.4,2018
VIRGINIA,7.9,2018
WASHINGTON,11.1,2018
WEST VIRGINIA,16.6,2018
WISCONSIN,10.0,2018
WYOMING,5.0,2018
PUERTO RICO,41.8,2018
