"","SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM: PAYMENT ERROR RATES","",""
"","","FISCAL YEAR 2022 1",""
"State/Territory","Over Payments","Under Payments","Payment Error Rates  2"
"ALABAMA","3.96","0.72","4.68"
"ALASKA","56.69","0.29","56.97"
"ARIZONA","9.62","1.77","11.39"
"ARKANSAS","10.21","1.10","11.31"
"CALIFORNIA","9.59","1.51","11.10"
"COLORADO","5.29","2.02","7.31"
"CONNECTICUT","7.21","1.73","8.93"
"DELAWARE","18.61","3.83","22.43"
"DISTRICT OF COLUMBIA","14.55","4.40","18.95"
"FLORIDA","7.45","1.15","8.59"
"GEORGIA","11.75","3.23","14.98"
"GUAM","12.68","3.63","16.31"
"HAWAII","19.65","2.13","21.78"
"IDAHO","3.26","0.18","3.44"
"ILLINOIS","9.67","1.24","10.91"
"INDIANA","6.59","2.10","8.69"
"IOWA","6.78","1.82","8.60"
"KANSAS","8.74","0.33","9.07"
"KENTUCKY","5.05","0.78","5.83"
"LOUISIANA","6.00","1.20","7.19"
"MAINE","13.59","1.27","14.86"
"MARYLAND","32.65","2.91","35.56"
"MASSACHUSETTS","10.77","1.00","11.77"
"MICHIGAN","10.22","2.78","13.00"
"MINNESOTA","5.49","2.75","8.24"
"MISSISSIPPI","6.63","1.16","7.79"
"MISSOURI","12.02","1.01","13.03"
"MONTANA","7.71","2.26","9.97"
"NEBRASKA","6.39","0.95","7.34"
"NEVADA","6.10","1.12","7.22"
"NEW HAMPSHIRE","7.71","4.63","12.34"
"NEW JERSEY","4.92","1.32","6.24"
"NEW MEXICO","11.39","1.04","12.43"
"NEW YORK","10.35","2.54","12.89"
"NORTH CAROLINA","17.44","1.63","19.07"
"NORTH DAKOTA","8.06","1.45","9.51"
"OHIO","6.14","0.96","7.10"
"OKLAHOMA","7.67","1.22","8.89"
"OREGON","21.76","1.23","22.99"
"PENNSYLVANIA","12.54","1.91","14.44"
"RHODE ISLAND","12.18","2.41","14.59"
"SOUTH CAROLINA","7.49","1.70","9.19"
"SOUTH DAKOTA","2.68","0.39","3.07"
"TENNESSEE","19.04","0.75","19.79"
"TEXAS","5.26","2.60","7.86"
"UTAH","5.58","1.03","6.61"
"VERMONT","4.10","0.47","4.57"
"VIRGIN ISLANDS","5.95","1.28","7.22"
"VIRGINIA","7.66","1.68","9.34"
"WASHINGTON","8.65","0.68","9.33"
"WEST VIRGINIA","7.56","1.79","9.35"
"WISCONSIN","3.81","0.58","4.39"
"WYOMING","3.44","0.86","4.30"
"NATIONAL","9.84","1.70","11.54"
